Column Name	Type	Location in Source Data Set	Value
fBodyAcc.mean...Y	Numeric	fBodyAcc-mean()-Y	"range: -1, 1; mean of all values for each subject and each activity"
fBodyAcc.mean...Z	Numeric	fBodyAcc-mean()-Z	"range: -1, 1; mean of all values for each subject and each activity"
fBodyAcc.std...X	Numeric	fBodyAcc-std()-X	"range: -1, 1; mean of all values for each subject and each activity"
fBodyAcc.std...Y	Numeric	fBodyAcc-std()-Y	"range: -1, 1; mean of all values for each subject and each activity"
fBodyAcc.std...Z	Numeric	fBodyAcc-std()-Z	"range: -1, 1; mean of all values for each subject and each activity"
fBodyAcc.meanFreq...X	Numeric	fBodyAcc-meanFreq()-X	"range: -1, 1; mean of all values for each subject and each activity"
fBodyAcc.meanFreq...Y	Numeric	fBodyAcc-meanFreq()-Y	"range: -1, 1; mean of all values for each subject and each activity"
fBodyAcc.meanFreq...Z	Numeric	fBodyAcc-meanFreq()-Z	"range: -1, 1; mean of all values for each subject and each activity"
fBodyAccJerk.mean...X	Numeric	fBodyAccJerk-mean()-X	"range: -1, 1; mean of all values for each subject and each activity"
fBodyAccJerk.mean...Y	Numeric	fBodyAccJerk-mean()-Y	"range: -1, 1; mean of all values for each subject and each activity"
fBodyAccJerk.mean...Z	Numeric	fBodyAccJerk-mean()-Z	"range: -1, 1; mean of all values for each subject and each activity"
fBodyAccJerk.std...X	Numeric	fBodyAccJerk-std()-X	"range: -1, 1; mean of all values for each subject and each activity"
fBodyAccJerk.std...Y	Numeric	fBodyAccJerk-std()-Y	"range: -1, 1; mean of all values for each subject and each activity"
fBodyAccJerk.std...Z	Numeric	fBodyAccJerk-std()-Z	"range: -1, 1; mean of all values for each subject and each activity"
fBodyAccJerk.meanFreq...X	Numeric	fBodyAccJerk-meanFreq()-X	"range: -1, 1; mean of all values for each subject and each activity"
fBodyAccJerk.meanFreq...Y	Numeric	fBodyAccJerk-meanFreq()-Y	"range: -1, 1; mean of all values for each subject and each activity"
fBodyAccJerk.meanFreq...Z	Numeric	fBodyAccJerk-meanFreq()-Z	"range: -1, 1; mean of all values for each subject and each activity"
fBodyGyro.mean...X	Numeric	fBodyGyro-mean()-X	"range: -1, 1; mean of all values for each subject and each activity"
fBodyGyro.mean...Y	Numeric	fBodyGyro-mean()-Y	"range: -1, 1; mean of all values for each subject and each activity"
fBodyGyro.mean...Z	Numeric	fBodyGyro-mean()-Z	"range: -1, 1; mean of all values for each subject and each activity"
fBodyGyro.std...X	Numeric	fBodyGyro-std()-X	"range: -1, 1; mean of all values for each subject and each activity"
fBodyGyro.std...Y	Numeric	fBodyGyro-std()-Y	"range: -1, 1; mean of all values for each subject and each activity"
fBodyGyro.std...Z	Numeric	fBodyGyro-std()-Z	"range: -1, 1; mean of all values for each subject and each activity"
fBodyGyro.meanFreq...X	Numeric	fBodyGyro-meanFreq()-X	"range: -1, 1; mean of all values for each subject and each activity"
fBodyGyro.meanFreq...Y	Numeric	fBodyGyro-meanFreq()-Y	"range: -1, 1; mean of all values for each subject and each activity"
fBodyGyro.meanFreq...Z	Numeric	fBodyGyro-meanFreq()-Z	"range: -1, 1; mean of all values for each subject and each activity"
fBodyAccMag.mean..	Numeric	fBodyAccMag-mean()	"range: -1, 1; mean of all values for each subject and each activity"
fBodyAccMag.std..	Numeric	fBodyAccMag-std()	"range: -1, 1; mean of all values for each subject and each activity"
fBodyAccMag.meanFreq..	Numeric	fBodyAccMag-meanFreq()	"range: -1, 1; mean of all values for each subject and each activity"
fBodyBodyAccJerkMag.mean..	Numeric	fBodyBodyAccJerkMag-mean()	"range: -1, 1; mean of all values for each subject and each activity"
fBodyBodyAccJerkMag.std..	Numeric	fBodyBodyAccJerkMag-std()	"range: -1, 1; mean of all values for each subject and each activity"
fBodyBodyAccJerkMag.meanFreq..	Numeric	fBodyBodyAccJerkMag-meanFreq()	"range: -1, 1; mean of all values for each subject and each activity"
fBodyBodyGyroMag.mean..	Numeric	fBodyBodyGyroMag-mean()	"range: -1, 1; mean of all values for each subject and each activity"
fBodyBodyGyroMag.std..	Numeric	fBodyBodyGyroMag-std()	"range: -1, 1; mean of all values for each subject and each activity"
fBodyBodyGyroMag.meanFreq..	Numeric	fBodyBodyGyroMag-meanFreq()	"range: -1, 1; mean of all values for each subject and each activity"
fBodyBodyGyroJerkMag.mean..	Numeric	fBodyBodyGyroJerkMag-mean()	"range: -1, 1; mean of all values for each subject and each activity"
fBodyBodyGyroJerkMag.std..	Numeric	fBodyBodyGyroJerkMag-std()	"range: -1, 1; mean of all values for each subject and each activity"
fBodyBodyGyroJerkMag.meanFreq..	Numeric	fBodyBodyGyroJerkMag-meanFreq()	"range: -1, 1; mean of all values for each subject and each activity"
angle.tBodyAccMean.gravity.	Numeric	"angle(tBodyAccMean,gravity)"	"range: -1, 1; mean of all values for each subject and each activity"
angle.tBodyAccJerkMean..gravityMean.	Numeric	"angle(tBodyAccJerkMean),gravityMean)"	"range: -1, 1; mean of all values for each subject and each activity"
angle.tBodyGyroMean.gravityMean.	Numeric	"angle(tBodyGyroMean,gravityMean)"	"range: -1, 1; mean of all values for each subject and each activity"
angle.tBodyGyroJerkMean.gravityMean.	Numeric	"angle(tBodyGyroJerkMean,gravityMean)"	"range: -1, 1; mean of all values for each subject and each activity"
angle.X.gravityMean.	Numeric	"angle(X,gravityMean)"	"range: -1, 1; mean of all values for each subject and each activity"
angle.Y.gravityMean.	Numeric	"angle(Y,gravityMean)"	"range: -1, 1; mean of all values for each subject and each activity"
angle.Z.gravityMean.	Numeric	"angle(Z,gravityMean)"	"range: -1, 1; mean of all values for each subject and each activity"
